id,realm,depth,current_type,is_leaf,current_path,bucket,target_path,target_realm,proposed_new_type,import_source,notes
culture-games-video-games-lists-console-palettes,Culture,5,event,true,Culture / Games / Video games / Lists / Console palettes,INTRA_REALM,Culture / Games / Video games / Console palettes,,reference,,Hardware-trivia reference
culture-literature-lists,Culture,3,event,false,Culture / Literature / Lists,DISSOLVE_CONTAINER,,,,,
culture-literature-lists-books,Culture,4,event,false,Culture / Literature / Lists / Books,IMPORT_REALIZE,Culture / Literature / Books,,entity_container,media reference (OpenLibrary/ISBN),Open-ended; container for sub-categories below
culture-literature-lists-books-banned-books,Culture,5,event,true,Culture / Literature / Lists / Books / Banned books,INTRA_REALM,Culture / Literature / Books / Banned books,,entity_list,,Censorship reference; cross-links to Justice
culture-literature-lists-books-best-selling-books,Culture,5,event,true,Culture / Literature / Lists / Books / Best-selling books,INTRA_REALM,Culture / Literature / Books / Best-selling,,ranked_list,,Sales reference
culture-literature-lists-books-by-genre,Culture,5,event,true,Culture / Literature / Lists / Books / By genre,LENS,lens: by-genre on Culture / Literature / Books,,,,§12 lens
culture-literature-lists-books-literary-awards,Culture,5,event,true,Culture / Literature / Lists / Books / Literary awards,INTRA_REALM,Culture / Literature / Books / Literary awards,,award_list,,
culture-literature-lists-books-writers,Culture,5,event,true,Culture / Literature / Lists / Books / Writers,IMPORT_REALIZE,Culture / Literature / Writers,,role_container,media reference,"Open-ended; writers home is top-level Literature, not under Books"
culture-literature-lists-by-year,Culture,4,event,true,Culture / Literature / Lists / By year,LENS,lens: temporal-axis on Culture / Literature,,,,§12
culture-literature-lists-electronic-literature,Culture,4,event,false,Culture / Literature / Lists / Electronic literature,INTRA_REALM,Culture / Literature / Electronic literature,,concept_list,,Sub-genre / form
culture-literature-lists-electronic-literature-electronic-literature-authors-critics-and-works,Culture,5,event,true,"Culture / Literature / Lists / Electronic literature / Electronic literature authors, critics, and works",INTRA_REALM,"Culture / Literature / Electronic literature / Authors, critics, and works",,role_list,,Sub-list under electronic-literature
culture-literature-lists-fiction,Culture,4,event,false,Culture / Literature / Lists / Fiction,DISSOLVE,,,,,Cross-drawer dup: Culture / Literature / Fiction already exists in production (verified collision check). Drop the Lists copy; descendants reparent to the real Fiction L3.
culture-literature-lists-fiction-comics,Culture,5,event,false,Culture / Literature / Lists / Fiction / Comics,INTRA_REALM,Culture / Literature / Fiction / Comics,,concept_container,,
culture-literature-lists-fiction-comics-best-selling-manga,Culture,6,event,true,Culture / Literature / Lists / Fiction / Comics / Best-selling manga,INTRA_REALM,Culture / Literature / Fiction / Comics / Manga / Best-selling,,ranked_list,,
culture-literature-lists-fiction-comics-comic-books,Culture,6,event,false,Culture / Literature / Lists / Fiction / Comics / Comic books,INTRA_REALM,Culture / Literature / Fiction / Comics / Comic books,,concept_container,,Parent of DC/Marvel below
culture-literature-lists-fiction-comics-comic-books-dc-comics,Culture,7,event,false,Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics,INTRA_REALM,Culture / Literature / Fiction / Comics / Comic books / DC Comics,,publisher_container,,
culture-literature-lists-fiction-comics-comic-books-dc-comics-dc-characters,Culture,8,event,true,Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / DC characters,IMPORT_REALIZE,Culture / Literature / Fiction / Comics / Comic books / DC Comics / Characters,,entity_list,media reference (Wikidata),
culture-literature-lists-fiction-comics-comic-books-dc-comics-dc-universe-locations,Culture,8,event,true,Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / DC Universe locations,INTRA_REALM,Culture / Literature / Fiction / Comics / Comic books / DC Comics / Universe locations,,entity_list,,
culture-literature-lists-fiction-comics-comic-books-dc-comics-elseworlds,Culture,8,event,true,Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / Elseworlds,INTRA_REALM,Culture / Literature / Fiction / Comics / Comic books / DC Comics / Elseworlds,,entity_list,,
culture-literature-lists-fiction-comics-comic-books-dc-comics-justice-league-members,Culture,8,event,true,Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / Justice League members,INTRA_REALM,Culture / Literature / Fiction / Comics / Comic books / DC Comics / Justice League / Members,,entity_list,,
culture-literature-lists-fiction-comics-comic-books-dc-comics-legion-of-super-heroes-members,Culture,8,event,true,Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / Legion of Super-Heroes members,INTRA_REALM,Culture / Literature / Fiction / Comics / Comic books / DC Comics / Legion of Super-Heroes / Members,,entity_list,,
culture-literature-lists-fiction-comics-comic-books-dc-comics-superman-enemies,Culture,8,event,true,Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / Superman enemies,INTRA_REALM,Culture / Literature / Fiction / Comics / Comic books / DC Comics / Superman / Enemies,,entity_list,,
culture-literature-lists-fiction-comics-comic-books-marvel-comics,Culture,7,event,false,Culture / Literature / Lists / Fiction / Comics / Comic books / Marvel Comics,INTRA_REALM,Culture / Literature / Fiction / Comics / Comic books / Marvel Comics,,publisher_container,,
culture-literature-lists-fiction-comics-comic-books-marvel-comics-avengers,Culture,8,event,true,Culture / Literature / Lists / Fiction / Comics / Comic books / Marvel Comics / Avengers,INTRA_REALM,Culture / Literature / Fiction / Comics / Comic books / Marvel Comics / Avengers,,entity_list,,
culture-literature-lists-fiction-comics-comic-books-marvel-comics-marvel-characters,Culture,8,event,true,Culture / Literature / Lists / Fiction / Comics / Comic books / Marvel Comics / Marvel characters,IMPORT_REALIZE,Culture / Literature / Fiction / Comics / Comic books / Marvel Comics / Characters,,entity_list,media reference (Wikidata),
culture-literature-lists-fiction-comics-comic-books-marvel-comics-x-men,Culture,8,event,true,Culture / Literature / Lists / Fiction / Comics / Comic books / Marvel Comics / X-Men,INTRA_REALM,Culture / Literature / Fiction / Comics / Comic books / Marvel Comics / X-Men,,entity_list,,
culture-literature-lists-fiction-comics-comic-strips,Culture,6,event,true,Culture / Literature / Lists / Fiction / Comics / Comic strips,INTRA_REALM,Culture / Literature / Fiction / Comics / Comic strips,,entity_list,,
culture-literature-lists-fiction-comics-manga,Culture,6,event,true,Culture / Literature / Lists / Fiction / Comics / Manga,INTRA_REALM,Culture / Literature / Fiction / Comics / Manga,,concept_container,,Parent of best-selling-manga above
culture-literature-lists-fiction-fairy-tales,Culture,5,event,true,Culture / Literature / Lists / Fiction / Fairy tales,INTRA_REALM,Culture / Literature / Fiction / Fairy tales,,entity_list,,
culture-literature-lists-fiction-fictional-characters,Culture,5,event,true,Culture / Literature / Lists / Fiction / Fictional characters,INTRA_REALM,Culture / Literature / Fiction / Fictional characters,,entity_container,,General-fiction characters parent
culture-literature-lists-fiction-fictional-computers,Culture,5,event,true,Culture / Literature / Lists / Fiction / Fictional computers,INTRA_REALM,Culture / Literature / Fiction / Fictional computers,,entity_list,,Sci-fi-trope reference
culture-literature-lists-fiction-fictional-places,Culture,5,event,false,Culture / Literature / Lists / Fiction / Fictional places,INTRA_REALM,Culture / Literature / Fiction / Fictional places,,entity_container,,Parent of countries/planets/universes below
culture-literature-lists-fiction-fictional-places-fictional-countries,Culture,6,event,true,Culture / Literature / Lists / Fiction / Fictional places / Fictional countries,INTRA_REALM,Culture / Literature / Fiction / Fictional places / Countries,,entity_list,,
culture-literature-lists-fiction-fictional-places-fictional-planets,Culture,6,event,true,Culture / Literature / Lists / Fiction / Fictional places / Fictional planets,INTRA_REALM,Culture / Literature / Fiction / Fictional places / Planets,,entity_list,,
culture-literature-lists-fiction-fictional-places-imaginary-universes,Culture,6,event,true,Culture / Literature / Lists / Fiction / Fictional places / Imaginary universes,INTRA_REALM,Culture / Literature / Fiction / Fictional places / Imaginary universes,,entity_list,,
culture-literature-lists-fiction-fictional-robots-and-androids,Culture,5,event,true,Culture / Literature / Lists / Fiction / Fictional robots and androids,INTRA_REALM,Culture / Literature / Fiction / Fictional robots and androids,,entity_list,,Sci-fi-trope reference
culture-literature-lists-fiction-major-themes,Culture,5,event,false,Culture / Literature / Lists / Fiction / Major themes,INTRA_REALM,Culture / Literature / Fiction / Major themes,,theme_container,,Parent of adultery/family/etc. theme atoms
culture-literature-lists-fiction-major-themes-adultery,Culture,6,event,true,Culture / Literature / Lists / Fiction / Major themes / Adultery,INTRA_REALM,Culture / Literature / Fiction / Major themes / Adultery,,theme_list,,
culture-literature-lists-fiction-major-themes-family,Culture,6,event,true,Culture / Literature / Lists / Fiction / Major themes / Family,INTRA_REALM,Culture / Literature / Fiction / Major themes / Family,,theme_list,,Cross-link to Self/Relationships/Family + Society/Social institutions/Family
culture-literature-lists-fiction-major-themes-sadomasochism,Culture,6,event,true,Culture / Literature / Lists / Fiction / Major themes / Sadomasochism,INTRA_REALM,Culture / Literature / Fiction / Major themes / Sadomasochism,,theme_list,,
culture-literature-lists-fiction-major-themes-science-fiction,Culture,6,event,true,Culture / Literature / Lists / Fiction / Major themes / Science fiction,INTRA_REALM,Culture / Literature / Fiction / Genres / Science fiction,,genre_list,,"Sci-fi as genre not ""theme"" — moves up a level"
culture-literature-lists-fiction-major-themes-travel,Culture,6,event,true,Culture / Literature / Lists / Fiction / Major themes / Travel,INTRA_REALM,Culture / Literature / Fiction / Major themes / Travel,,theme_list,,
culture-literature-lists-magazines,Culture,4,event,false,Culture / Literature / Lists / Magazines,IMPORT_REALIZE,Culture / Mass media / Print media / Magazines,,publication_container,media reference,"Surprising fit: magazines belong under Mass media, not Literature (which is books). Surface in summary."
culture-literature-lists-magazines-anomalous-phenomena-magazines,Culture,5,event,true,Culture / Literature / Lists / Magazines / Anomalous phenomena magazines,INTRA_REALM,Culture / Mass media / Print media / Magazines / Anomalous phenomena,,publication_list,,
culture-literature-lists-magazines-magazines-by-circulation,Culture,5,event,true,Culture / Literature / Lists / Magazines / Magazines by circulation,LENS,lens: circulation-rank on Culture / Mass media / Print media / Magazines,,,,§12 lens
culture-literature-lists-magazines-men-s-magazines,Culture,5,event,true,Culture / Literature / Lists / Magazines / Men's magazines,INTRA_REALM,Culture / Mass media / Print media / Magazines / Men's magazines,,publication_list,,
culture-literature-lists-magazines-teen-magazines,Culture,5,event,true,Culture / Literature / Lists / Magazines / Teen magazines,INTRA_REALM,Culture / Mass media / Print media / Magazines / Teen magazines,,publication_list,,
culture-literature-lists-magazines-women-s-magazines,Culture,5,event,true,Culture / Literature / Lists / Magazines / Women's magazines,INTRA_REALM,Culture / Mass media / Print media / Magazines / Women's magazines,,publication_list,,
culture-literature-lists-publishers,Culture,4,event,true,Culture / Literature / Lists / Publishers,INTRA_REALM,Culture / Literature / Publishers,,company_list,,
culture-literature-lists-scientific-journals,Culture,4,event,true,Culture / Literature / Lists / Scientific journals,CROSS_REALM,Science / Scientific method and meta-science / Scientific journals,Science,publication_list,,"Scientific journals home in Science, not Literature; pairs with Science / Lists / Biological journals + Society / Lists / Social science journals"
culture-mass-media-broadcast-media-television-lists,Culture,5,event,false,Culture / Mass media / Broadcast media / Television / Lists,DISSOLVE_CONTAINER,,,,,
culture-mass-media-broadcast-media-television-lists-by-year,Culture,6,event,true,Culture / Mass media / Broadcast media / Television / Lists / By year,LENS,lens: temporal-axis on Culture / Mass media / Broadcast media / Television,,,,§12
culture-mass-media-broadcast-media-television-lists-television-channels,Culture,6,event,false,Culture / Mass media / Broadcast media / Television / Lists / Television channels,IMPORT_REALIZE,Culture / Mass media / Broadcast media / Television / Channels,,organization_container,broadcast registries,
culture-mass-media-broadcast-media-television-lists-television-channels-by-country,Culture,7,event,false,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By country,LENS,lens: by-country on Culture / Mass media / Broadcast media / Television / Channels,,,,§12 — drops all the per-country leaves below
culture-mass-media-broadcast-media-television-lists-television-channels-by-country-australia,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By country / Australia,DISSOLVE,,,,,Per-country bucket dissolved by the LENS conversion of the by-country parent. Cross-realm dup with Geography / Countries — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-channels-by-country-canada,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By country / Canada,DISSOLVE,,,,,Per-country bucket dissolved by the LENS conversion of the by-country parent. Cross-realm dup with Geography / Countries — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-channels-by-country-denmark,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By country / Denmark,DISSOLVE,,,,,Per-country bucket dissolved by the LENS conversion of the by-country parent. Cross-realm dup with Geography / Countries — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-channels-by-country-ireland,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By country / Ireland,DISSOLVE,,,,,Per-country bucket dissolved by the LENS conversion of the by-country parent. Cross-realm dup with Geography / Countries — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-channels-by-country-united-kingdom,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By country / United Kingdom,DISSOLVE,,,,,Per-country bucket dissolved by the LENS conversion of the by-country parent. Cross-realm dup with Geography / Countries — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-channels-by-country-united-states,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By country / United States,DISSOLVE,,,,,Per-country bucket dissolved by the LENS conversion of the by-country parent. Cross-realm dup with Geography / Countries — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-channels-by-language,Culture,7,event,false,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language,LENS,lens: by-language on Culture / Mass media / Broadcast media / Television / Channels,,,,§12
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-french,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / French,DISSOLVE,,,,,Per-language bucket dissolved by the LENS conversion of the by-language parent. Cross-realm dup with Society / Linguistics / Languages — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-german,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / German,DISSOLVE,,,,,Per-language bucket dissolved by the LENS conversion of the by-language parent. Cross-realm dup with Society / Linguistics / Languages — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-greek,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / Greek,DISSOLVE,,,,,Per-language bucket dissolved by the LENS conversion of the by-language parent. Cross-realm dup with Society / Linguistics / Languages — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-italian,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / Italian,DISSOLVE,,,,,Per-language bucket dissolved by the LENS conversion of the by-language parent. Cross-realm dup with Society / Linguistics / Languages — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-spanish,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / Spanish,DISSOLVE,,,,,Per-language bucket dissolved by the LENS conversion of the by-language parent. Cross-realm dup with Society / Linguistics / Languages — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-channels-by-language-tamil,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television channels / By language / Tamil,DISSOLVE,,,,,Per-language bucket dissolved by the LENS conversion of the by-language parent. Cross-realm dup with Society / Linguistics / Languages — cross-link via realm_tags.
culture-mass-media-broadcast-media-television-lists-television-networks,Culture,6,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television networks,IMPORT_REALIZE,Culture / Mass media / Broadcast media / Television / Networks,,organization_list,broadcast registries,
culture-mass-media-broadcast-media-television-lists-television-programs,Culture,6,event,false,Culture / Mass media / Broadcast media / Television / Lists / Television programs,IMPORT_REALIZE,Culture / Mass media / Broadcast media / Television / Programs,,entity_container,media reference (TMDB/Wikidata),
culture-mass-media-broadcast-media-television-lists-television-programs-animated-series,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / Animated series,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / Animated series,,genre_list,,
culture-mass-media-broadcast-media-television-lists-television-programs-anime-lists,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / Anime lists,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / Anime,,genre_list,,"Drop "" lists"" suffix"
culture-mass-media-broadcast-media-television-lists-television-programs-bl-dramas,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / BL dramas,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / BL dramas,,genre_list,,
culture-mass-media-broadcast-media-television-lists-television-programs-british-tv-shows-remade-for-the-american-market,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / British TV shows remade for the American market,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / British shows remade for American market,,curiosity_list,,
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster,Culture,7,event,false,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster,LENS,lens: by-broadcaster on Culture / Mass media / Broadcast media / Television / Programs,,,,§12 — dissolves the 11 per-broadcaster leaves below
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-abc,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / ABC,DISSOLVE,,,,,Per-broadcaster bucket dissolved by the LENS conversion of the by-broadcaster parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-ant1,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / ANT1,DISSOLVE,,,,,Per-broadcaster bucket dissolved by the LENS conversion of the by-broadcaster parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-bbc,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / BBC,DISSOLVE,,,,,Per-broadcaster bucket dissolved by the LENS conversion of the by-broadcaster parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-cartoon-network,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / Cartoon Network,DISSOLVE,,,,,Per-broadcaster bucket dissolved by the LENS conversion of the by-broadcaster parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-cbs,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / CBS,DISSOLVE,,,,,Per-broadcaster bucket dissolved by the LENS conversion of the by-broadcaster parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-ert,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / ERT,DISSOLVE,,,,,Per-broadcaster bucket dissolved by the LENS conversion of the by-broadcaster parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-fox,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / Fox,DISSOLVE,,,,,Per-broadcaster bucket dissolved by the LENS conversion of the by-broadcaster parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-mega-channel,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / MEGA Channel,DISSOLVE,,,,,Per-broadcaster bucket dissolved by the LENS conversion of the by-broadcaster parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-mtv,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / MTV,DISSOLVE,,,,,Per-broadcaster bucket dissolved by the LENS conversion of the by-broadcaster parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-nbc,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / NBC,DISSOLVE,,,,,Per-broadcaster bucket dissolved by the LENS conversion of the by-broadcaster parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-broadcaster-upn,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By broadcaster / UPN,DISSOLVE,,,,,Per-broadcaster bucket dissolved by the LENS conversion of the by-broadcaster parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-characters,Culture,7,event,false,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By characters,LENS,lens: by-characters on Culture / Mass media / Broadcast media / Television / Programs,,,,§12
culture-mass-media-broadcast-media-television-lists-television-programs-by-characters-muppets,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By characters / Muppets,DISSOLVE,,,,,Per-characters bucket dissolved by LENS conversion of parent.
culture-mass-media-broadcast-media-television-lists-television-programs-by-program,Culture,7,event,false,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By program,LENS,lens: by-program on Culture / Mass media / Broadcast media / Television / Programs,,,,§12 — odd self-referential lens; consider dropping if redundant
culture-mass-media-broadcast-media-television-lists-television-programs-by-program-invader-zim,Culture,8,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / By program / Invader Zim,DISSOLVE,,,,,Per-program bucket dissolved by LENS conversion of parent.
culture-mass-media-broadcast-media-television-lists-television-programs-children-s-television-series,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / Children's television series,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / Children's series,,genre_list,,
culture-mass-media-broadcast-media-television-lists-television-programs-comedies,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / Comedies,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / Comedies,,genre_list,,
culture-mass-media-broadcast-media-television-lists-television-programs-cult-television-shows,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / Cult television shows,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / Cult shows,,genre_list,,
culture-mass-media-broadcast-media-television-lists-television-programs-dramedies,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / Dramedies,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / Dramedies,,genre_list,,
culture-mass-media-broadcast-media-television-lists-television-programs-most-watched-television-episodes,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / Most-watched television episodes,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / Most-watched episodes,,ranked_list,,
culture-mass-media-broadcast-media-television-lists-television-programs-sci-fi-tv-programs,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / Sci-fi TV programs,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / Sci-fi,,genre_list,,
culture-mass-media-broadcast-media-television-lists-television-programs-soap-operas,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / Soap operas,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / Soap operas,,genre_list,,
culture-mass-media-broadcast-media-television-lists-television-programs-spin-off-shows,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / Spin-off shows,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / Spin-off shows,,curiosity_list,,Pairs with Human activities / Lists / Spin-offs (adjudicated)
culture-mass-media-broadcast-media-television-lists-television-programs-tv-shows-by-city-setting,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / TV shows by city setting,LENS,lens: by-city-setting on Culture / Mass media / Broadcast media / Television / Programs,,,,§12
culture-mass-media-broadcast-media-television-lists-television-programs-uk-television-series,Culture,7,event,true,Culture / Mass media / Broadcast media / Television / Lists / Television programs / UK television series,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Programs / UK series,,regional_list,,UK-regional
culture-mass-media-broadcast-media-television-lists-tv-stations-in-north-america,Culture,6,event,true,Culture / Mass media / Broadcast media / Television / Lists / TV stations in North America,INTRA_REALM,Culture / Mass media / Broadcast media / Television / Stations / North America,,organization_list,,Regional broadcast
culture-mass-media-film-and-cinema-lists,Culture,4,event,false,Culture / Mass media / Film and cinema / Lists,DISSOLVE_CONTAINER,,,,,
culture-mass-media-film-and-cinema-lists-actors,Culture,5,event,true,Culture / Mass media / Film and cinema / Lists / Actors,IMPORT_REALIZE,Culture / Mass media / Film and cinema / Actors,,role_container,media reference (TMDB),
culture-mass-media-film-and-cinema-lists-directors,Culture,5,event,true,Culture / Mass media / Film and cinema / Lists / Directors,IMPORT_REALIZE,Culture / Mass media / Film and cinema / Directors,,role_container,media reference (TMDB),
culture-mass-media-film-and-cinema-lists-film-awards,Culture,5,event,true,Culture / Mass media / Film and cinema / Lists / Film awards,INTRA_REALM,Culture / Mass media / Film and cinema / Awards,,award_list,,
